ID,Local Price,Bathrooms Count,Area_Sqft,Living Space,Garrage Count,Rooms Count,Bedrooms Count,Age,Material,Level,Selling Price
1,4.9176,1,3.472,0.998,1,7,4,42,Alumunium/Wood,Two story,25.9
2,5.0208,1,3.531,1.5,2,7,4,62,Brick,Two story,29.5
3,4.5429,1,2.275,1.175,1,6,3,40,Brick/Wood,Two story,27.9
4,4.5573,1,4.05,1.232,1,6,3,54,Wood,Two story,25.9
5,5.0597,1,4.455,1.121,1,6,3,42,Alumunium/Wood,Two story,29.9
6,3.891,1,4.455,0.988,1,6,3,56,Brick/Wood,Two story,29.9
7,5.898,1,5.85,1.24,1,7,3,51,Brick/Wood,Two story,30.9
8,5.6039,1,9.52,1.501,0,6,3,32,Brick,Two story,28.9
9,16.4202,2.5,9.8,3.42,2,10,5,42,Brick/Wood,Two story,84.9
10,14.4598,2.5,12.8,3,2,9,5,14,Wood,Two story,82.9
11,5.8282,1,6.435,1.225,2,6,3,32,Brick,Two story,35.9
12,5.3003,1,4.9883,1.552,1,6,3,30,Brick,Split Level,31.5
13,6.2712,1,5.52,0.975,1,5,2,30,Brick,Split Level,31
14,5.9592,1,6.666,1.121,2,6,3,32,Brick/Wood,Two story,30.9
15,5.05,1,5,1.02,0,5,2,46,Wood,Two story,30
16,5.6039,1,9.52,1.501,0,6,3,32,Brick,Two story,28.9
17,8.2464,1.5,5.15,1.664,2,8,4,50,Wood,Two story,36.9
18,6.6969,1.5,6.902,1.488,1.5,7,3,22,Brick,Two story,41.9
19,7.7841,1.5,7.102,1.376,1,6,3,17,Brick/Wood,Two story,40.5
20,9.0384,1,7.8,1.5,1.5,7,3,23,Alumunium/Wood,Ranch,43.9
21,5.9894,1,5.52,1.256,2,6,3,40,Wood,Two story,37.5
22,7.5422,1.5,4,1.69,1,6,3,22,Brick,Two story,37.9
23,8.7951,1.5,9.89,1.82,2,8,4,50,Brick,Two story,44.5
24,6.0931,1.5,6.7265,1.652,1,6,3,44,Wood,Two story,37.9
25,8.3607,1.5,9.15,1.777,2,8,4,48,Brick,Two story,38.9
26,8.14,1,8,1.504,2,7,3,3,Brick,Ranch,36.9
27,9.1416,1.5,7.3262,1.831,1.5,8,4,31,Wood,Two story,45.8
28,12,1.5,5,1.2,2,6,3,30,Alumunium/Wood,Two story,41
29,4.8546,1,4.9969,1.561,1,7,5,37,Brick/Wood,Split Level,25.3
30,8.9727,2,7.9795,0.5116,2,3,1,44,Brick,Two Story,24.5
31,5.5976,1.5,9.7818,1.9725,2,9,4,26,Brick,Two Story,31.7
32,9.2973,1.5,6.0552,1.7232,1,8,2,11,Brick/Wood,Two Story,42.9
33,5.2765,1,6.5923,1.3287,1,6,4,37,Brick/Wood,Two Story,24.9
34,9.5196,1,3.3013,1.0452,1,5,3,25,Brick,Split Level,29.3
35,6.2582,2,6.1236,0.5757,1,2,1,43,Brick,Two Story,19.4
36,10.6487,1,4.6025,1.3426,1,6,4,35,Wood,Two Story,36.8
37,5.4202,1,1.8091,0.491,0,2,1,42,Brick/Wood,Two Story,19.3
38,10.5469,1,7.3004,2.6384,1,10,7,45,Brick,Two Story,46.1
39,2.8511,1,5.1882,1.3571,1.5,5,4,37,Brick,Two Story,17.2
40,3.7524,2.5,9.0287,2.6266,2,10,4,44,Alumunium/Wood,Two Story,39.6
41,6.4351,1.5,7.6942,0.7964,2,4,2,27,Alumunium/Wood,Two Story,23.8
42,14.3772,1.5,5.8967,1.8889,2,6,5,34,Brick/Wood,Two Story,50.7
43,12.2888,1,6.0472,1.0045,1,5,3,7,Wood,Two Story,37.6
44,8.8307,2,8.4052,1.8978,1,9,5,46,Brick,Two Story,35.9
45,9.8445,2,7.4778,1.224,1,7,2,36,Wood,Two Story,37.2
46,4.2384,1.5,6.5348,1.3013,1,8,4,20,Brick,Ranch,19.4
47,12.7731,1.5,5.7701,1.1074,1.5,4,3,66,Wood,Two Story,40.1
48,10.1528,2.5,7.0395,1.977,1,10,4,36,Wood,Split Level,44.5
49,5.7488,1,5.3355,1.5108,1.5,10,4,36,Brick/Wood,Split Level,28.5
50,8.823,3,12.069,2.557,1.5,15,6,30,Brick/Wood,Two Story,45.9
51,5.4755,1,4.1379,0.1255,0,1,0,59,Alumunium/Wood,Two Story,16.2
52,4.1962,1.5,8.1692,1.4201,2,8,3,32,Brick,Two Story,22.9
53,5.696,1,3.412,1.0318,1,6,2,31,Alumunium/Wood,Two Story,25.5
54,8.6639,1,5.5429,1.3418,1.5,8,3,6,Wood,Split Level,34.4
55,3.4342,1.5,11.0317,1.6831,2,6,5,36,Brick,Two Story,21.1
56,3.803,1,1.1473,0.1735,0,1,0,44,Wood,Two Story,13.2
57,9.295,2,6.446,0.8683,1,4,2,65,Wood,Two Story,31.1
